speakers,durations,topics,views,descriptions,tags,lengths
Scott Dinsmore,1067,How to find work you love,6847335,Scott Dinsmore quit a job that made him miserable and spent the next four years wondering how to find work that was joyful and meaningful He shares what he learned in this deceptively simple talk about finding out what matters to you  and then getting started doing it,|business|entrepreneur|happiness|work|work-life balance,0:17:47
Maz Jobrani,554,Did you hear the one about the IranianAmerican,6820406,A founding member of the Axis of Evil Comedy Tour standup comic Maz Jobrani riffs on the challenges and conflicts of being IranianAmerican  like part of me thinks I should have a nuclear program the other part thinks I cant be trusted ,Iran|Middle East|comedy|entertainment|politics|humor,0:09:14
Samantha Agoos,255,5 tips to improve your critical thinking,6775389,Every day a sea of decisions stretches before us and its impossible to make a perfect choice every time But there are many ways to improve our chances  and one particularly effective technique is critical thinking Samantha Agoos describes a 5step process that may help you with any number of problems Directed by Nick Hilditch narrated by Addison Anderson,animation|brain||education|hack|human body,0:04:15
Adam Galinsky,908,How to speak up for yourself,6764174,Speaking up is hard to do even when you know you should Learn how to assert yourself navigate tricky social situations and expand your personal power with sage guidance from social psychologist Adam Galinsky,motivation|business|communication|decision-making|empathy|personal growth|leadership|identity|personality|relationships|society||work|women in business,0:15:08
John Wooden,1056,The difference between winning and succeeding,6755448,With profound simplicity Coach John Wooden redefines success and urges us all to pursue the best in ourselves In this inspiring talk he shares the advice he gave his players at UCLA quotes poetry and remembers his fathers wisdom,culture|education|leadership|life|poetry|sports|work,0:17:36
Dan Ariely,1226,What makes us feel good about our work,6752558,What motivates us to work Contrary to conventional wisdom it isnt just money But its not exactly joy either It seems that most of us thrive by making constant progress and feeling a sense of purpose Behavioral economist Dan Ariely presents two eyeopening experiments that reveal our unexpected and nuanced attitudes toward meaning in our work,|behavioral economics|business|leadership|motivation|productivity|work,0:20:26
Jennifer Lu,254,Can you solve the counterfeit coin riddle,6748796,Youre the realms greatest mathematician but ever since you criticized the Emperors tax laws youve been locked in the dungeon Luckily for you one of the Emperors governors has been convicted of paying his taxes with a counterfeit coin which has made its way into the treasury Can you earn your freedom by finding the fake Jennifer Lu shows how Directed by Artrake Studio narrated by Addison Anderson,creativity||animation|math|money,0:04:14
Maurice Conti,923,The incredible inventions of intuitive AI,6724447,What do you get when you give a design tool a digital nervous system Computers that improve our ability to think and imagine and robotic systems that come up with and build radical new designs for bridges cars drones and much more  all by themselves Take a tour of the Augmented Age with futurist Maurice Conti and preview a time when robots and humans will work sidebyside to accomplish things neither could do alone,AI|algorithm|computers|drones|future|engineering|humanity|innovation|invention|materials|product design|robots|technology||manufacturing|design,0:15:23
Derek Sivers,195,Keep your goals to yourself,6724303,After hitting on a brilliant new life plan our first instinct is to tell someone but Derek Sivers says its better to keep goals secret He presents research stretching as far back as the 1920s to show why people who talk about their ambitions may be less likely to achieve them,goal-setting|motivation|personal growth|self|storytelling|success|psychology,0:03:15
Bill Gates,1669,Innovating to zero,6717844,At TED2010 Bill Gates unveils his vision for the worlds energy future describing the need for miracles to avoid planetary catastrophe and explaining why hes backing a dramatically different type of nuclear reactor The necessary goal Zero carbon emissions globally by 2050,business|energy|global issues|invention|science|technology|electricity,0:27:49
Helen Fisher,956,The brain in love,6709908,Why do we crave love so much even to the point that we would die for it To learn more about our very real very physical need for romantic love Helen Fisher and her research team took MRIs of people in love  and people who had just been dumped,brain|cognitive science|culture|literature|love|poetry|psychology|relationships|science|technology,0:15:56
